Año,mes,día,favor,contra
2018,2,8,232,67
2018,2,9,167,82
2018,2,10,44,47
2018,2,11,102,69
2018,2,12,96,42
2018,2,13,53,49
2018,2,14,59,54
2018,2,15,163,44
2018,2,16,91,70
2018,2,17,106,65
2018,2,18,170,49
2018,2,19,33762,3284
2018,2,20,9258,1980
2018,2,21,2073,1195
2018,2,22,805,668
2018,2,23,2033,1670
2018,2,24,1356,1392
2018,2,25,965,954
2018,2,26,993,882
2018,2,27,996,749
2018,2,28,676,726
2018,3,1,2831,699
2018,3,2,638,6504
2018,3,3,348,891
2018,3,4,285,332
2018,3,5,591,587
2018,3,6,4198,1004
2018,3,7,1101,959
2018,3,8,1819,1057
2018,3,9,878,598
2018,3,10,281,371
2018,3,11,170,288
2018,3,12,161,348
2018,3,13,380,306
2018,3,14,180,308
2018,3,15,130,252
2018,3,16,142,260
2018,3,17,19,211
2018,3,18,5,200
2018,3,19,5,264
2018,3,20,3,601
2018,3,21,379,600
2018,3,22,248,448
2018,3,23,226,533
2018,3,24,193,363
2018,3,25,596,7886
2018,3,26,901,6039
2018,3,27,353,1033
2018,3,28,200,481
2018,3,29,218,283
2018,3,30,144,148
2018,3,31,246,175
2018,4,1,136,110
2018,4,2,98,135
2018,4,3,488,200
2018,4,4,383,286
2018,4,5,265,159
2018,4,6,189,165
2018,4,7,130,142
2018,4,8,199,190
2018,4,9,536,286
2018,4,10,13422,2144
2018,4,11,2598,925
2018,4,12,2254,635
2018,4,13,713,456
2018,4,14,324,253
2018,4,15,412,515
2018,4,16,649,313
2018,4,17,2046,527
2018,4,18,1191,472
2018,4,19,1167,350
2018,4,20,680,302
2018,4,21,367,189
2018,4,22,274,183
2018,4,23,514,276
2018,4,24,1995,513
2018,4,25,789,657
2018,4,26,953,728
2018,4,27,610,415
2018,4,28,263,297
2018,4,29,241,244
2018,4,30,290,2512
2018,5,1,325,1406
2018,5,2,428,524
2018,5,3,940,1053
2018,5,4,501,1864
2018,5,5,351,1447
2018,5,6,308,507
2018,5,7,500,288
2018,5,8,952,442
2018,5,9,324,345
2018,5,10,652,366
2018,5,11,248,249
2018,5,12,169,197
2018,5,13,114,304
2018,5,14,250,190
2018,5,15,660,809
2018,5,16,399,345
2018,5,17,491,736
2018,5,18,274,329
2018,5,19,294,349
2018,5,20,325,1522
2018,5,21,433,722
2018,5,22,740,389
2018,5,23,364,197
2018,5,24,1121,317
2018,5,25,459,248
2018,5,26,501,250
2018,5,27,410,197
2018,5,28,1086,381
2018,5,29,1650,698
2018,5,30,917,379
2018,5,31,1826,910
2018,6,1,850,511
2018,6,2,426,227
2018,6,3,1682,793
2018,6,4,4970,1900
2018,6,5,4904,2357
2018,6,6,2761,2361
2018,6,7,2896,2353
2018,6,8,2695,1483
2018,6,9,3640,1438
2018,6,10,6056,2593
2018,6,11,9679,3786
2018,6,12,14291,3822
2018,6,13,44439,7129
2018,6,14,48766,5238
2018,6,15,3531,1593
2018,6,16,1441,894
2018,6,17,849,671
2018,6,18,872,800
2018,6,19,797,718
2018,6,20,1493,1062
2018,6,21,1730,1387
2018,6,22,749,998
2018,6,23,434,754
2018,6,24,1593,1423
2018,6,25,1081,1450
2018,6,26,2149,1212
2018,6,27,1839,1972
2018,6,28,725,1175
2018,6,29,703,1013
2018,6,30,570,1050
2018,7,1,209,971
2018,7,2,279,1235
2018,7,3,380,1089
2018,7,4,628,1018
2018,7,5,536,812
2018,7,6,488,715
2018,7,7,396,533
2018,7,8,482,803
2018,7,9,610,1290
2018,7,10,1782,900
2018,7,11,1020,832
2018,7,12,639,968
2018,7,13,736,999
2018,7,14,507,661
2018,7,15,527,583
2018,7,16,714,939
2018,7,17,1809,965
2018,7,18,1840,869
2018,7,19,492,708
2018,7,20,946,564
2018,7,21,452,375
2018,7,22,626,450
2018,7,23,775,629
2018,7,24,1763,400
2018,7,25,2265,737
2018,7,26,1558,611
2018,7,27,1555,470
2018,7,28,1511,1880
2018,7,29,1232,895
2018,7,30,2102,1202
2018,7,31,4069,1153
2018,8,1,4395,1318
2018,8,2,2694,1008
2018,8,3,3130,1382
2018,8,4,3041,1810
2018,8,5,4446,1942
2018,8,6,8005,1626
2018,8,7,16418,2341
2018,8,8,62665,6132
2018,8,9,32062,5218
2018,8,10,7096,1002
2018,8,11,2958,585
2018,8,12,1516,345
2018,8,13,1218,273
2018,8,14,2651,570
2018,8,15,1460,447
2018,8,16,1137,474
2018,8,17,761,878
2018,8,18,384,469
2018,8,19,244,272
2018,8,20,303,280
2018,8,21,425,292
2018,8,22,303,291
2018,8,23,281,246
2018,8,24,294,787
2018,8,25,210,465
2018,8,26,196,251
2018,8,27,252,269
2018,8,28,284,330
2018,8,29,2060,492
2018,8,30,216,293
2018,8,31,128,184
2018,9,1,235,168
2018,9,2,218,604
2018,9,3,228,1083
2018,9,4,216,1012
2018,9,5,222,1140
2018,9,6,198,963
2018,9,7,140,646
